Scenario,MAE,RMSE,MAPE
All,0.4772681818181818,1.1365204035683973,53.059647600046844
Without StJulien,0.26981428571428573,0.4904471900118057,51.75058756440105
Without top 3,0.17574736842105265,0.3453467791868586,51.017585314312775
